ORDER	Wavelength (nm)	X0	Y0	X1	Y1	X2	Y2	Sampling (pixels)	R
68	1796.843938	-30.678556	28.220041	-30.907128	26.956841	-30.480534	29.48518	3.330529	99952
68	1794.220808	-23.388912	27.486863	-23.584826	26.210161	-23.221316	28.764083	3.088126	103949
68	1791.597678	-16.599336	26.957649	-16.765732	25.671122	-16.459634	28.243887	2.890701	103669
68	1788.974548	-10.225997	26.59228	-10.365493	25.299241	-10.111833	27.884508	2.723884	103404
68	1786.351418	-4.209605	26.362529	-4.324198	25.065634	-4.11907	27.658175	2.579402	103142
68	1783.728288	1.494039	26.247342	1.402693	24.948686	1.562519	27.544316	2.451881	102880
68	1781.105159	6.919094	26.230552	6.849478	24.931868	6.966894	27.52711	2.337661	102618
68	1778.482029	12.092806	26.299441	12.043528	25.002261	12.121145	27.59407	2.234184	102353
68	1775.858899	17.037481	26.443739	17.007333	25.149448	17.047421	27.735106	2.139582	102086
68	1773.235769	21.771733	26.654947	21.759685	25.364762	21.764225	27.941945	2.052445	101816
68	1770.612639	26.311399	26.92599	26.316496	25.64088	26.287391	28.207807	1.971724	103607
69	1770.612639	-29.864414	23.756974	-30.088423	22.484824	-29.670707	25.031223	3.319453	100025
69	1768.064995	-22.698344	23.044551	-22.890824	21.75923	-22.534224	24.330864	3.083272	103913
69	1765.517351	-16.014551	22.531238	-16.178741	21.236633	-15.877205	23.826103	2.889428	103644
69	1762.969707	-9.734172	22.179124	-9.872464	20.878418	-9.621351	23.479502	2.725133	103384
69	1760.422063	-3.800576	21.960828	-3.914725	20.656498	-3.710572	23.264306	2.582565	103126
69	1757.874419	1.82859	21.855761	1.737058	20.549774	1.89722	23.16043	2.456505	102867
69	1755.326775	7.186104	21.848127	7.115698	20.542128	7.234699	23.152391	2.343415	102608
69	1752.779131	12.298234	21.925532	12.247533	20.620974	12.328032	23.22798	2.240858	102347
69	1750.231487	17.186627	22.077957	17.154384	20.776161	17.1987	23.377304	2.147054	102084
69	1747.683842	21.869412	22.297047	21.854605	20.999202	21.864662	23.592155	2.060622	101818
69	1745.136198	26.361947	22.57572	26.363709	21.282844	26.341188	23.865658	1.980475	103591
70	1745.136198	-29.065204	19.421307	-29.284836	18.141724	-28.875819	20.703354	3.308242	100084
70	1742.660828	-22.020506	18.729418	-22.209901	17.437236	-21.859554	20.023018	3.077491	103883
70	1740.185457	-15.441607	18.232306	-15.603847	16.931272	-15.306291	19.533905	2.887126	103622
70	1737.710087	-9.253671	17.893625	-9.39088	16.586706	-9.141975	19.200358	2.725417	103366
70	1735.234716	-3.402527	17.686751	-3.516277	16.376309	-3.312953	18.996377	2.584816	103110
70	1732.759346	2.152328	17.591615	2.060598	16.279589	2.221116	18.902336	2.460235	102854
