ORDER	Wavelength (nm)	X0	Y0	X1	Y1	X2	Y2	Sampling (pixels)	R
90	1355.161629	-25.535287	27.857933	-25.707758	26.598516	-25.393101	29.118077	3.359247	100596
90	1353.664213	-19.934318	27.336394	-20.083918	26.070439	-19.813516	28.602476	3.193509	103162
90	1352.166797	-14.602231	26.924103	-14.731103	25.6533	-14.500819	28.194505	3.04784	102973
90	1350.66938	-9.507598	26.6077	-9.617437	25.333476	-9.42401	27.881056	2.918904	102780
90	1349.171964	-4.624232	26.376025	-4.716393	25.099592	-4.557229	27.651171	2.803898	102585
90	1347.674548	0.069692	26.219704	-0.005885	24.942109	0.121103	27.495637	2.700508	102388
90	1346.177132	4.592406	26.130802	4.532518	24.85296	4.629024	27.406644	2.606829	102189
90	1344.679716	8.959175	26.10253	8.914246	24.825253	8.981647	27.377502	2.521284	101987
90	1343.1823	13.182796	26.129009	13.15223	24.853024	13.19164	27.40241	2.442549	101784
90	1341.684883	17.273976	26.20507	17.257291	24.931036	17.269601	27.476267	2.369493	101579
90	1340.187467	21.241619	26.326106	21.238434	25.054622	21.224342	27.594519	2.301132	102878
91	1340.187467	-24.993568	23.929168	-25.163672	22.670667	-24.853789	25.188636	3.3538	100601
91	1338.722781	-19.462504	23.420449	-19.610527	22.155886	-19.343312	24.685361	3.189474	103151
91	1337.258096	-14.194921	23.01972	-14.322829	21.750653	-14.094499	24.28859	3.045203	102963
91	1335.79341	-9.15986	22.71355	-9.269222	21.441297	-9.076771	23.985126	2.917559	102772
91	1334.328724	-4.331639	22.490842	-4.423723	21.216524	-4.264726	23.764056	2.803713	102579
91	1332.864038	0.311107	22.342346	0.235258	21.066936	0.362783	23.616276	2.70136	102384
91	1331.399353	4.786211	22.260284	4.725732	20.984632	4.823423	23.53412	2.608615	102186
91	1329.934667	9.108618	22.238033	9.062785	20.962895	9.132003	23.511056	2.523925	101987
91	1328.469981	13.290874	22.269885	13.259083	20.995939	13.300959	23.541448	2.445995	101786
91	1327.005295	17.343504	22.350853	17.325256	21.078709	17.340718	23.620369	2.37372	101583
91	1325.54061	21.2753	22.476511	21.270185	21.206726	21.259987	23.743444	2.306143	102864
92	1325.54061	-24.460162	20.096098	-24.628275	18.839307	-24.322385	21.354028	3.347324	100611
92	1324.107593	-18.998895	19.601096	-19.145607	18.338626	-18.881023	20.864068	3.184722	103140
92	1322.674576	-13.795429	19.212387	-13.922549	17.945686	-13.695801	20.47903	3.04203	102954
92	1321.241559	-8.819436	18.916626	-8.928425	17.64692	-8.736724	20.185783	2.915779	102764
92	1319.808542	-4.045827	18.702866	-4.137882	17.431207	-3.978948	19.973545	2.803146	102573
92	1318.375525	0.54624	18.562037	0.470121	17.28934	0.598182	19.833378	2.701849	102379
92	1316.942508	4.974167	18.48654	4.91314	17.213607	5.011921	19.757787	2.610032	102184
92	1315.509492	9.252546	18.469931	9.205897	17.197474	9.276745	19.740411	2.526175	101987
92	1314.076475	13.39365	18.506678	13.360772	17.235333	13.404827	19.775785	2.449009	101788
92	1312.643458	17.407804	18.591963	17.38818	17.322304	17.406405	19.85915	2.377461	101587
92	1311.210441	21.303658	18.721533	21.296854	17.45408	21.290054	19.986301	2.310596	102851
93	1311.210441	-23.935956	16.357647	-24.102362	15.103149	-23.79987	17.613402	3.340097	100625
93	1309.808077	-18.544003	15.876819	-18.689597	14.616948	-18.427234	17.137297	3.179446	103129
93	1308.405713	-13.404011	15.5003	-13.530469	14.236413	-13.305037	16.764226	3.03846	102944
93	1307.003349	-8.4864	15.214938	-8.595089	13.948192	-8.403982	16.48123	2.91367	102756
93	1305.600984	-3.766736	15.010004	-3.858795	13.741393	-3.699853	16.277728	2.802282	102566
93	1304.19862	0.775265	14.876637	0.698876	13.607031	0.827472	16.144982	2.702048	102375
93	1302.796256	5.156546	14.807435	5.095006	13.537599	5.194808	16.075684	2.61115	102181
93	1301.393892	9.391334	14.796138	9.343936	13.526749	9.416276	16.063654	2.528102	101986
93	1299.991528	13.491613	14.837383	13.457746	13.569046	13.503773	16.103595	2.451666	101789
93	1298.589164	17.467488	14.926517	17.446625	13.659776	17.467327	16.190909	2.380795	101591
93	1297.1868	21.327454	15.059447	21.31914	13.794791	21.315365	16.321549	2.314583	102840
94	1297.1868	-23.421486	12.712111	-23.586394	11.460335	-23.286861	13.965226	3.33233	100642
94	1295.814115	-18.098097	12.2456	-18.242712	10.988701	-17.982279	13.503185	3.173791	103118
94	1294.441431	-13.020766	11.88124	-13.146647	10.6205	-12.922346	13.142097	3.034595	102935
94	1293.068747	-8.16073	11.606148	-8.269169	10.342665	-8.078549	12.869254	2.911308	102748
94	1291.696062	-3.494258	11.409849	-3.586342	10.144575	-3.427345	12.674317	2.80118	102560
94	1290.323378	0.998359	11.283714	0.921703	10.017482	1.050831	12.54877	2.702009	102370
94	1288.950693	5.333593	11.220547	5.271563	9.95409	5.372337	12.485504	2.612018	102179
94	1287.578009	9.525294	11.214269	9.477192	9.948239	9.550929	12.47852	2.529757	101986
94	1286.205324	13.585149	11.259686	13.550365	9.99466	13.598215	12.522683	2.454019	101791
