ORDER	Wavelength (nm)	X0	Y0	X1	Y1	X2	Y2	Sampling (pixels)	R
109	1117.852219	-20.429204	28.593038	-20.563279	27.318315	-20.323607	29.872261	3.109451	101263
109	1116.83135	-16.115867	28.193902	-16.232285	26.91474	-16.02687	29.477126	2.99141	103199
109	1115.81048	-11.963629	27.871074	-12.063712	26.588551	-11.889989	29.157248	2.884201	103049
109	1114.78961	-7.958119	27.617299	-8.042949	26.332351	-7.898827	28.905512	2.786484	102896
109	1113.768741	-4.086779	27.426203	-4.157246	26.139649	-4.041013	28.715661	2.697031	102740
109	1112.747871	-0.338683	27.292182	-0.395523	26.004744	-0.30577	28.582183	2.614757	102583
109	1111.727002	3.295653	27.210289	3.251828	25.922612	3.316265	28.500209	2.538705	102423
109	1110.706132	6.824451	27.176134	6.793134	25.888801	6.833214	28.465409	2.468037	102262
109	1109.685262	10.254822	27.185793	10.235593	25.899331	10.252102	28.47391	2.402017	102099
109	1108.664393	13.592897	27.235726	13.585414	25.95062	13.578985	28.522212	2.33999	101934
109	1107.643523	16.843929	27.322706	16.84792	26.039403	16.819053	28.607125	2.281367	103078
110	1107.643523	-19.973297	24.874846	-20.105596	23.60186	-19.869537	26.152646	3.108329	101260
110	1106.641131	-15.700686	24.484229	-15.81593	23.207185	-15.612912	25.765623	2.990675	103192
110	1105.638738	-11.587041	24.169495	-11.686443	22.889375	-11.514121	25.453534	2.883994	103042
110	1104.636346	-7.617993	23.923258	-7.702552	22.640917	-7.558998	25.209119	2.78686	102890
110	1103.633954	-3.781052	23.739106	-3.851604	22.455292	-3.735218	25.02607	2.698005	102735
110	1102.631562	-0.065389	23.611452	-0.122633	22.326826	-0.032082	24.898883	2.616324	102579
110	1101.629169	3.538379	23.535399	3.493853	22.250556	3.559691	24.822731	2.540853	102420
110	1100.626777	7.038385	23.506632	7.006078	22.222103	7.048144	24.793352	2.470759	102260
110	1099.624385	10.441665	23.521312	10.421156	22.237583	10.440239	24.806952	2.405309	102098
110	1098.621992	13.754296	23.575996	13.745232	22.29351	13.741987	24.860127	2.343859	101935
