ORDER	Wavelength (nm)	X0	Y0	X1	Y1	X2	Y2	Sampling (pixels)	R
68	1796.84	-30.198	28.891	-30.284	27.485	-30.144	30.304	3.640675	98370
68	1794.22	-22.365	27.929	-22.432	26.525	-22.327	29.341	3.306969	103583
68	1791.6	-15.192	27.248	-15.243	25.845	-15.169	28.657	3.051874	103097
68	1788.97	-8.535	26.785	-8.571	25.384	-8.526	28.192	2.849612	102823
68	1786.35	-2.294	26.499	-2.314	25.099	-2.297	27.904	2.684652	102772
68	1783.73	3.605	26.36	3.598	24.961	3.59	27.763	2.547125	102540
68	1781.11	9.215	26.345	9.221	24.948	9.188	27.747	2.43047	102102
68	1778.48	14.577	26.439	14.596	25.044	14.539	27.839	2.330168	101872
68	1775.86	19.726	26.629	19.756	25.235	19.677	28.027	2.243009	101837
68	1773.24	24.687	26.905	24.728	25.512	24.627	28.301	2.166654	101401
68	1770.61	29.483	27.258	29.535	25.868	29.413	28.652	2.099362	102534
69	1770.61	-29.206	24.091	-29.294	22.695	-29.151	25.495	3.603794	98302
69	1768.06	-21.553	23.197	-21.622	21.803	-21.515	24.599	3.283257	103526
69	1765.52	-14.528	22.565	-14.58	21.171	-14.504	23.964	3.036602	103238
69	1762.97	-7.996	22.137	-8.032	20.744	-7.985	23.535	2.839964	102780
69	1760.42	-1.862	21.875	-1.883	20.483	-1.864	23.271	2.678869	102541
69	1757.87	3.941	21.752	3.934	20.362	3.926	23.147	2.544053	102510
69	1755.33	9.465	21.748	9.471	20.359	9.438	23.141	2.429326	102275
69	1752.78	14.748	21.847	14.767	20.459	14.709	23.238	2.330395	101839
69	1750.23	19.823	22.037	19.853	20.651	19.773	23.426	2.2442	101610
69	1747.68	24.715	22.309	24.757	20.925	24.654	23.696	2.168498	101579
69	1745.14	29.446	22.655	29.499	21.273	29.375	24.041	2.101617	103111
70	1745.14	-28.26	19.48	-28.349	18.092	-28.204	20.875	3.569867	98336
70	1742.66	-20.777	18.648	-20.847	17.261	-20.737	20.041	3.261536	103400
70	1740.19	-13.891	18.059	-13.944	16.673	-13.866	19.451	3.022712	103123
70	1737.71	-7.477	17.662	-7.514	16.276	-7.465	19.052	2.83131	102663
