ORDER	Wavelength (nm)	X0	Y0	X1	Y1	X2	Y2	Sampling (pixels)
109	1117.852219	-18.663026	26.059792	-18.682376	24.900167	-18.669152	27.224833	2.855857
109	1116.83135	-14.710508	25.680201	-14.71934	24.519513	-14.726094	26.845789	2.741061
109	1115.81048	-10.912183	25.375732	-10.910977	24.214451	-10.936851	26.541464	2.63871
109	1114.78961	-7.252065	25.138143	-7.241246	23.976687	-7.285479	26.303658	2.546672
109	1113.768741	-3.716817	24.960611	-3.69676	23.799349	-3.758677	26.125583	2.463292
109	1112.747871	-0.295172	24.837408	-0.266214	23.676675	-0.34521	26.001544	2.38726
109	1111.727002	3.022481	24.763681	3.06004	23.603777	2.96451	25.926713	2.317527
109	1110.706132	6.244422	24.735271	6.290307	23.576469	6.178738	25.896954	2.253237
109	1109.685262	9.377836	24.748586	9.431799	23.591136	9.304641	25.908698	2.193687
109	1108.664393	12.429004	24.800501	12.490819	23.644631	12.34848	25.958836	2.138292
109	1107.643523	15.403451	24.888272	15.472908	23.734192	15.315767	26.044642	2.086559
110	1107.643523	-18.234665	22.65284	-18.253903	21.496802	-18.240861	23.814311	2.851019
110	1106.641131	-14.32384	22.285664	-14.332658	21.128622	-14.339412	23.447633	2.737699
110	1105.638738	-10.563953	21.991724	-10.562822	20.834131	-10.58853	23.153802	2.636546
110	1104.636346	-6.939503	21.763067	-6.928836	20.605326	-6.972757	22.924906	2.545496
110	1103.633954	-3.43753	21.593095	-3.417695	20.435563	-3.479166	22.754382	2.46294
110	1102.631562	-0.047074	21.476265	-0.018402	20.319263	-0.096828	22.636716	2.387605
110	1101.629169	3.241232	21.407869	3.278445	20.251688	3.1836	22.567225	2.318467
110	1100.626777	6.435465	21.38387	6.48095	20.228775	6.370173	22.541898	2.254692
110	1099.624385	9.542642	21.400781	9.596153	20.247011	9.469889	22.557264	2.195591
110	1098.621992	12.568906	21.455559	12.630219	20.303337	12.488872	22.610299	2.140591
110	1097.6196	15.519663	21.545536	15.58857	20.395066	15.432516	22.698352	2.089211
111	1097.6196	-17.814649	19.324678	-17.833782	18.172247	-17.820915	20.482557	2.846126
111	1096.635188	-13.944865	18.969515	-13.953675	17.816134	-13.960421	20.127842	2.734261
111	1095.650775	-10.222846	18.685757	-10.221792	17.531865	-10.247331	19.84416	2.634291
111	1094.666363	-6.633559	18.465732	-6.623045	17.311716	-6.666651	19.623874	2.544217
111	1093.681951	-3.164414	18.303057	-3.144801	17.149262	-3.205826	19.460638	2.462476
111	1092.697539	0.195253	18.192366	0.223641	17.039103	0.145783	19.349112	2.38783
111	1091.713127	3.45457	18.129095	3.491442	16.976644	3.397277	19.284757	2.319281
111	1090.728714	6.621415	18.109324	6.666505	16.957941	6.556514	19.263677	2.256014
111	1089.744302	9.702644	18.129663	9.75571	16.979582	9.63033	19.282498	2.197356
111	1088.75989	12.704261	18.187155	12.76508	17.038589	12.624714	19.338281	2.142747
111	1087.775478	15.631557	18.279202	15.699923	17.132349	15.544943	19.428443	2.091714
112	1087.775478	-17.40282	16.072927	-17.421856	14.924108	-17.409152	17.227195	2.841192
112	1086.808566	-13.57342	15.729379	-13.582229	14.579662	-13.588958	16.884049	2.730761
112	1085.841655	-9.888695	15.455465	-9.887721	14.305273	-9.913086	16.610178	2.631958
112	1084.874743	-6.334063	15.243776	-6.323704	14.093482	-6.366993	16.398209	2.542846
112	1083.907832	-2.897295	15.088143	-2.877903	13.938081	-2.938481	16.242006	2.461911
112	1082.94092	0.431988	14.983367	0.460096	13.833836	0.382801	16.136397	2.387946
112	1081.974009	3.662679	14.925021	3.699215	13.776294	3.605723	16.07698	2.319979
112	1081.007097	6.802465	14.909302	6.847167	13.761626	6.737951	16.059971	2.257215
112	1080.040186	9.85804	14.932914	9.910668	13.786514	9.786161	16.082091	2.198995
112	1079.073274	12.835274	14.992978	12.895609	13.848064	12.756209	16.140481	2.144771
112	1078.106363	15.739346	15.086968	15.807183	13.943731	15.65326	16.232625	2.094079
113	1078.106363	-16.999012	12.895268	-17.01796	11.750058	-17.005403	14.045917	2.836232
113	1077.156489	-13.209341	12.562948	-13.218152	11.416886	-13.224855	13.713956	2.72721
113	1076.206616	-9.561333	12.298546	-9.560443	11.152041	-9.585627	13.449566	2.629556
113	1075.256742	-6.040848	12.094909	-6.030643	10.948321	-6.073614	13.245631	2.541395
113	1074.306869	-2.636002	11.946069	-2.616828	10.799721	-2.676963	13.096215	2.461255
113	1073.356995	0.663305	11.846991	0.691136	10.701174	0.614399	12.996307	2.387963
113	1072.407122	3.865738	11.793381	3.901942	10.648358	3.809114	12.941638	2.320572
113	1071.457248	6.978794	11.781546	7.023115	10.637556	6.914662	12.928532	2.258303
113	1070.507375	10.009014	11.808282	10.061214	10.665545	9.937565	12.953804	2.200516
113	1069.557502	12.962137	11.870788	13.021997	10.729508	12.883547	13.014668	2.146672
113	1068.607628	15.843229	11.966604	15.910547	10.826966	15.757661	13.108676	2.096317
114	1068.607628	-16.603056	9.789455	-16.62192	8.647836	-16.609499	10.936485	2.831254
114	1067.674346	-12.852459	9.467985	-12.861276	8.325557	-12.867945	10.615334	2.723618
114	1066.741065	-9.240595	9.212773	-9.239789	8.069929	-9.264789	10.360107	2.627096
114	1065.807783	-5.753747	9.016909	-5.743696	7.874	-5.786349	10.163931	2.539872
114	1064.874501	-2.380368	8.874622	-2.36141	7.73196	-2.421106	10.021063	2.460517
114	1063.941219	0.889371	8.781034	0.916929	7.6389	0.840742	9.92665	2.38789
114	1063.007937	4.063913	8.731978	4.099793	7.590628	4.007618	9.876547	2.321066
114	1062.074656	7.150575	8.723868	7.194521	7.583535	7.08682	9.867185	2.259288
114	1061.141374	10.155743	8.753587	10.207522	7.614486	10.084716	9.895466	2.201928
114	1060.208092	13.085028	8.818412	13.144423	7.680739	13.006904	9.95868	2.148459
114	1059.27481	15.943388	8.915945	16.010198	7.779882	15.85833	10.054442	2.098436
115	1059.27481	-16.214776	6.75331	-16.233562	5.615259	-16.221267	7.896733	2.826268
115	1058.357689	-12.502605	6.442323	-12.511429	5.303499	-12.518059	7.58603	2.719994
115	1057.440568	-8.926314	6.195987	-8.925592	5.056772	-8.950407	7.339657	2.624586
115	1056.523447	-5.472597	6.007629	-5.462697	4.868363	-5.505034	7.150973	2.538285
115	1055.606326	-2.130231	5.871664	-2.111486	4.73265	-2.170748	7.014424	2.459704
115	1054.689205	1.110347	5.783364	1.137638	4.644876	1.061993	6.925304	2.387733
115	1053.772084	4.257368	5.738688	4.292929	4.600974	4.201397	6.879594	2.32147
115	1052.854963	7.317969	5.73415	7.361549	4.597438	7.254584	6.873824	2.260177
115	1051.937842	10.298389	5.766721	10.349756	4.631219	10.227777	6.904981	2.203238
115	1051.020721	13.204113	5.833749	13.263052	4.699648	13.126447	6.970428	2.150138
115	1050.1036	16.039993	5.932898	16.106305	4.800378	15.955435	7.067841	2.100442
116	1050.1036	-15.833997	3.78473	-15.852707	2.650213	-15.84053	4.924568	2.821282
116	1049.202223	-12.159609	3.483869	-12.168442	2.348613	-12.17503	4.62396	2.716344
116	1048.300847	-8.618327	3.246107	-8.617687	2.110481	-8.642318	4.386139	2.622032
116	1047.39947	-5.197238	3.064995	-5.187486	1.92933	-5.229512	4.204692	2.53664
116	1046.498094	-1.885436	2.935128	-1.866898	1.799719	-1.925734	4.07424	2.458823
116	1045.596717	1.326389	2.851925	1.353417	1.717038	1.278305	3.990222	2.387499
116	1044.695341	4.446256	2.811461	4.481504	1.67734	4.390603	3.948737	2.32179
116	1043.793965	7.481131	2.810352	7.524351	1.677217	7.41811	3.946414	2.260975
116	1042.892588	10.437107	2.845648	10.48807	1.713704	10.366903	3.980322	2.204452
116	1041.991212	13.319548	2.91477	13.37804	1.784204	13.242332	4.047891	2.151718
116	1041.089835	16.133202	3.015441	16.199024	1.886427	16.049135	4.146859	2.102344
117	1041.089835	-15.460544	0.881682	-15.479179	-0.249336	-15.467116	2.017964	2.8163
117	1040.203801	-11.823305	0.590603	-11.832145	-0.541125	-11.838691	1.72711	2.712675
117	1039.317767	-8.316471	0.361121	-8.315911	-0.770958	-8.340361	1.497553	2.61944
117	1038.431733	-4.927513	0.187005	-4.917905	-0.945103	-4.959627	1.323094	2.534944
117	1037.545699	-1.645828	0.063022	-1.627493	-1.068827	-1.68591	1.198525	2.457879
117	1036.659666	1.537646	-0.01527	1.564417	-1.1466	1.489828	1.119425	2.387193
117	1035.773632	4.630726	-0.05168	4.665667	-1.182254	4.575385	1.082006	2.322031
117	1034.887598	7.640208	-0.049499	7.683074	-1.179101	7.577544	1.082991	2.261688
117	1034.001564	10.572044	-0.011595	10.622608	-1.140025	10.502239	1.11953	2.205576
117	1033.11553	13.431479	0.059519	13.48953	-1.067554	13.354705	1.189119	2.153202
117	1032.229496	16.223161	0.161625	16.288501	-0.963921	16.139575	1.289552	2.104146
118	1032.229496	-15.094241	-1.957792	-15.1128	-3.085349	-15.100849	-0.825031	2.811329
118	1031.358416	-11.493526	-2.239423	-11.502371	-3.367665	-11.508877	-1.106461	2.708992
118	1030.487337	-8.02059	-2.460907	-8.020105	-3.589483	-8.04438	-1.328034	2.616816
118	1029.616257	-4.66327	-2.628268	-4.653802	-3.756864	-4.695226	-1.495745	2.533201
118	1028.745177	-1.41126	-2.746574	-1.393123	-3.874909	-1.451131	-1.614636	2.456877
118	1027.874097	1.744263	-2.820132	1.770782	-3.947951	1.696705	-1.688995	2.386821
118	1027.003018	4.810917	-2.852641	4.845557	-3.979713	4.755884	-1.722501	2.322198
118	1026.131938	7.795337	-2.8473	7.837855	-3.973413	7.733023	-1.718338	2.262321
118	1025.260858	10.703336	-2.8069	10.753508	-3.931858	10.633924	-1.679283	2.206615
118	1024.389778	13.540043	-2.73389	13.597659	-3.857512	13.463702	-1.607771	2.154596
118	1023.518699	16.310007	-2.63043	16.374871	-3.752548	16.226894	-1.505955	2.105854
119	1023.518699	-14.734914	-4.735579	-14.753395	-5.859714	-14.741559	-3.606301	2.806373
119	1022.662198	-11.170109	-5.008084	-11.178955	-6.13288	-11.185426	-3.878625	2.705298
119	1021.805697	-7.730526	-5.221843	-7.730114	-6.346957	-7.75422	-4.092485	2.614163
