ORDER	Wavelength (nm)	FWHM (detector pixels)
109	1117.852219	1.767763
109	1116.831350	1.766639
109	1115.810480	1.769173
109	1114.789610	1.768292
109	1113.768741	1.770019
109	1112.747871	1.766691
109	1111.727002	1.764126
109	1110.706132	1.764864
109	1109.685262	1.767598
109	1108.664393	1.766915
109	1107.643523	1.765407
110	1107.643523	1.768821
110	1106.641131	1.766880
110	1105.638738	1.769255
110	1104.636346	1.767064
110	1103.633954	1.770588
110	1102.631562	1.767740
110	1101.629169	1.768617
110	1100.626777	1.762942
110	1099.624385	1.770313
110	1098.621992	1.765251
110	1097.619600	1.767883
111	1097.619600	1.766493
111	1096.635188	1.763780
111	1095.650775	1.768016
111	1094.666363	1.770146
111	1093.681951	1.764046
111	1092.697539	1.767306
111	1091.713127	1.763730
111	1090.728714	1.763628
111	1089.744302	1.768759
111	1088.759890	1.769598
111	1087.775478	1.764741
112	1087.775478	1.766429
112	1086.808566	1.766473
112	1085.841655	1.771559
112	1084.874743	1.767561
112	1083.907832	1.767395
112	1082.940920	1.767102
112	1081.974009	1.763754
112	1081.007097	1.767847
112	1080.040186	1.766604
112	1079.073274	1.766675
112	1078.106363	1.766733
113	1078.106363	1.767890
113	1077.156489	1.762960
113	1076.206616	1.766850
113	1075.256742	1.766362
113	1074.306869	1.769978
113	1073.356995	1.766613
113	1072.407122	1.768950
113	1071.457248	1.769647
113	1070.507375	1.770737
113	1069.557502	1.769855
113	1068.607628	1.767021
114	1068.607628	1.767594
114	1067.674346	1.764320
114	1066.741065	1.768233
114	1065.807783	1.770785
114	1064.874501	1.767682
114	1063.941219	1.767222
114	1063.007937	1.770168
114	1062.074656	1.768080
114	1061.141374	1.766138
114	1060.208092	1.768090
114	1059.274810	1.767416
115	1059.274810	1.765004
115	1058.357689	1.764761
115	1057.440568	1.768265
115	1056.523447	1.766323
115	1055.606326	1.770093
115	1054.689205	1.766384
115	1053.772084	1.767289
115	1052.854963	1.768583
115	1051.937842	1.765926
115	1051.020721	1.767691
115	1050.103600	1.768335
116	1050.103600	1.765713
116	1049.202223	1.769762
116	1048.300847	1.768939
116	1047.399470	1.762585
116	1046.498094	1.767748
116	1045.596717	1.765728
116	1044.695341	1.764892
116	1043.793965	1.764405
116	1042.892588	1.764910
116	1041.991212	1.767583
116	1041.089835	1.769461
117	1041.089835	1.766024
117	1040.203801	1.760241
117	1039.317767	1.768462
117	1038.431733	1.766794
117	1037.545699	1.765413
117	1036.659666	1.764216
117	1035.773632	1.767354
117	1034.887598	1.767410
117	1034.001564	1.768313
117	1033.115530	1.766649
117	1032.229496	1.769337
118	1032.229496	1.762831
118	1031.358416	1.769440
118	1030.487337	1.764768
118	1029.616257	1.767048
118	1028.745177	1.767646
118	1027.874097	1.763465
118	1027.003018	1.766461
118	1026.131938	1.771527
118	1025.260858	1.768541
118	1024.389778	1.766554
118	1023.518699	1.768938
119	1023.518699	1.765104
119	1022.662198	1.767521
119	1021.805697	1.765760
119	1020.949196	1.771050
119	1020.092695	1.764922
119	1019.236194	1.764712
119	1018.379693	1.766828
119	1017.523192	1.766490
119	1016.666691	1.771532
119	1015.810190	1.767806
119	1014.953689	1.767428
120	1014.953689	1.769077
120	1014.111403	1.767016
120	1013.269118	1.763236
120	1012.426833	1.768421
120	1011.584548	1.768699
120	1010.742262	1.770575
120	1009.899977	1.767768
120	1009.057692	1.763616
120	1008.215407	1.766406
120	1007.373122	1.766610
120	1006.530836	1.769127
121	1006.530836	1.769835
121	1005.702416	1.766897
121	1004.873996	1.770061
121	1004.045575	1.768225
121	1003.217155	1.764671
121	1002.388734	1.768444
121	1001.560314	1.761131
121	1000.731893	1.767012
121	999.903473	1.766859
121	999.075052	1.764227
121	998.246632	1.767544
122	998.246632	1.768822
122	997.431737	1.771152
122	996.616842	1.762877
122	995.801946	1.767103
122	994.987051	1.763846
122	994.172156	1.764441
122	993.357261	1.767704
122	992.542366	1.770732
122	991.727470	1.768297
122	990.912575	1.764428
122	990.097680	1.762929
123	990.097680	1.769331
123	989.295981	1.769644
123	988.494283	1.764900
123	987.692584	1.766273
123	986.890886	1.767862
123	986.089187	1.766232
123	985.287489	1.763081
123	984.485790	1.770219
123	983.684092	1.770557
123	982.882393	1.766636
123	982.080695	1.769291
124	982.080695	1.764489
124	981.291875	1.765088
124	980.503055	1.766994
124	979.714235	1.768889
124	978.925415	1.766595
124	978.136595	1.768752
124	977.347776	1.766307
124	976.558956	1.768014
124	975.770136	1.768209
124	974.981316	1.768603
124	974.192496	1.764395
125	974.192496	1.768214
125	973.416247	1.764814
125	972.639998	1.764797
125	971.863749	1.768117
125	971.087500	1.765658
125	970.311251	1.765669
125	969.535002	1.768753
125	968.758753	1.769815
125	967.982504	1.768636
125	967.206255	1.766213
125	966.430006	1.761399
126	966.430006	1.765666
126	965.666030	1.764620
126	964.902054	1.763165
126	964.138077	1.766912
126	963.374101	1.765120
126	962.610125	1.766963
126	961.846149	1.770278
126	961.082172	1.766036
126	960.318196	1.768113
126	959.554220	1.769722
126	958.790243	1.769167
127	958.790243	1.768160
127	958.038251	1.767524
127	957.286259	1.767371
127	956.534266	1.765579
127	955.782274	1.765507
127	955.030282	1.764346
127	954.278289	1.765967
127	953.526297	1.770335
127	952.774305	1.766547
127	952.022312	1.770237
127	951.270320	1.773507
